author,title,description,url,urlToImage,date,content,source.id,source.name,symbol,result
Moneycontrol News,"Mid-day Mood | Indices trade flat, Nifty holds 21,700; HDFC Bank breaks 4-day winning streak","As we enter the new year 2024, hopes run high that the market will continue to rally this year too, extending its winning streak to the ninth year in a row. But, it could be a slow start",https://www.moneycontrol.com/news/business/markets/mid-day-mood-indices-trade-flat-nifty-holds-21700-hdfc-bank-breaks-4-day-winning-streak-11982401.html,https://images.moneycontrol.com/static-mcnews/2023/12/Nifty_sensex_marketup-11-770x433.jpg,2024-01-01,"The Sensex and the Nifty are in a consolidation mode, trading absolutely flat at noon on the first trading session of the calendar year. HDFC Bank, the heaviest on the index, broke its four-day gaini… [+2966 chars]",,Moneycontrol,HDFCBANK,1.0
Moneycontrol News,"Taking Stock: Sensex, Nifty recovers to end flat ahead of Fed outcome","Top gainers on the Nifty were NTPC, Hero MotoCorp, Power Grid Corporation, Eicher Motors and Adani Ports, while losers were TCS, Infosys, Bajaj Finserv, HDFC Life and Axis Bank.",https://www.moneycontrol.com/news/business/markets/taking-stock-sensex-nifty-recovers-to-end-flat-ahead-of-fed-outcome-11899171.html,https://images.moneycontrol.com/static-mcnews/2023/12/market_volatile-3-770x433.jpg,2023-12-13,"The Indian benchmark indices ended with marginal gains in the highly volatile session on December 13 ahead of the FOMC meeting outcome later tonight.
At close, the Sensex was up 33.57 points or 0.05… [+2720 chars]",,Moneycontrol,HDFCBANK,1.0
Rakesh Patil,Taking Stock: Market falls from record highs amid high volatility; banks a major hit,"Nestle India, Adani Enterprises, Adani Ports, Tech Mahindra and Wipro were among the top gainers on the Nifty, while losers included Eicher Motors, Bharti Airtel, M&amp;M, Bajaj Auto and HDFC Bank",https://www.moneycontrol.com/news/business/markets/taking-stock-market-falls-from-record-highs-amid-high-volatility-banks-a-major-hit-11983501.html,https://images.moneycontrol.com/static-mcnews/2024/01/market_volatile-1-770x433.jpg,2024-01-01,"The Indian equity indices ended the first day of the New Year with marginal losses in the highly volatile session after hitting fresh record highs. At close, the Sensex was down 169.21 points or 0.23… [+1674 chars]",,Moneycontrol,HDFCBANK,1.0
Ankita Sengupta,"Shocked to know HDFC doesn#39;t provide loans to policemen, says JK officer. Bank responds",The Jammu and Kashmir police officer#39;s post sparked comments from several disgruntled bank customers who claimed that their loans too were rejected due to their professions.,https://www.moneycontrol.com/news/trends/hdfc-doesnt-provide-loans-to-police-claims-policeman-bank-responds-11929561.html,https://images.moneycontrol.com/static-mcnews/2023/08/HDFC-BANK-1-770x431.jpg,2023-12-20,A policeman from Jammu and Kashmir has claimed that HDFC Bank has a policy against granting loans to police officers and he allegedly came to know about it after applying for a personal loan. Taking … [+2457 chars],,Moneycontrol,HDFCBANK,1.0
Moneycontrol News,"A day of rejigs: FTSE, BSE100 rebalancing today, HDFC Bank likely to get $500-mn inflow","The S&amp;P BSE 100 index will also see a dynamic shift as seven counters will change. As per IIFL, it is an active largecap benchmark. Tata Elxsi, Adani Power, Voltas, Bandhan Bank, Mphasis, Crompton Greaves Consumer Electricals and ACC are to be dropped fro…",https://www.moneycontrol.com/news/business/markets/a-day-of-rejigs-ftse-bse100-rebalancing-today-hdfc-bank-likely-to-get-500-mn-inflow-11908381.html,https://images.moneycontrol.com/static-mcnews/2023/12/Nifty_sensex_marketup-4-770x433.jpg,2023-12-15,"HDFC Bank is set to be the biggest beneficiary of the FTSE rebalance on December 15 as the stock's weightage will go up in the index, bringing in flows from passive funds. As per a Nuvama Research es… [+2856 chars]",,Moneycontrol,HDFCBANK,0.0
Sunil Shankar Matkar,"Daily Voice | Market upside looks fairly limited in 2024 despite healthy expected earnings growth of the index, says Varun Lohchab of HDFC Securities",Varun Lohchab of HDFC Securities believes DII and retail flows are expected to remain buoyant in the coming year too.,https://www.moneycontrol.com/news/business/markets/daily-voice-market-upside-looks-fairly-limited-in-2024-despite-healthy-expected-earnings-growth-of-the-index-says-varun-lohchab-of-hdfc-securities-11959201.html,https://images.moneycontrol.com/static-mcnews/2023/10/Varun_LohchabHDFC-770x433.jpg,2023-12-27,"""From current valuation levels, upside looks fairly limited in the equity markets in 2024 despite the healthy expected earnings growth of the index,"" Varun Lohchab of HDFC Securities says in an inter… [+8385 chars]",,Moneycontrol,HDFCBANK,0.0
Sucheta Anchaliya,"Bank Nifty positive after hitting new high; buy on dips at these levels, watch out for volatility, advise experts","RBI MPC meeting: In the short term, Bank Nifty may encounter volatility; a breakout above 47,200 could propel the index towards 48,000. On the downside, support is positioned at 46,800.",https://www.moneycontrol.com/news/business/markets/bank-nifty-positive-after-hitting-new-high-buy-on-dips-at-these-levels-watch-out-for-volatility-advise-experts-11872861.html,https://images.moneycontrol.com/static-mcnews/2023/12/rbi-770x433.jpeg,2023-12-08,"Bank Nifty is trading with a continued positive bias after hitting a new all-time high on December 8 after the RBI kept the repo rate unchanged at 6.5 percent for the fifth time in a row. However, th… [+2624 chars]",,Moneycontrol,HDFCBANK,0.0
Rakesh Patil,Market snaps seven-week rally; PSU Banks worst hit,"Foreign institutional investors (FIIs) turned net sellers in this week, as they sold equities worth of Rs 6,422.24 crore, while Domestic institutional investors (DIIs) bought equities worth Rs 9,093.99 crore",https://www.moneycontrol.com/news/photos/business/markets/market-snaps-seven-week-rally-psu-banks-worst-hit-11946461.html,https://images.moneycontrol.com/static-mcnews/2023/12/WhatsApp-Image-2023-06-05-at-5.44.33-PM-1-4-770x433.jpeg,2023-12-23,Indian equity markets snapped seven weeks rising momentum to finish 0.5 percent lower but touched fresh record highs in the volatile week ended December 22 amid mixed global cues and fear of rising c… [+2447 chars],,Moneycontrol,HDFCBANK,
PTI,RBI continues battle against inflation; all eyes on possible rate cut in 2024,"RBI Governor Shaktikanta Das, who is into the last year of his second three-year term at the helm of the central bank, has been steadfast in highlighting the need to get the inflation down to 4 per cent on a durable basis.",https://economictimes.indiatimes.com/news/economy/policy/rbi-continues-battle-against-inflation-all-eyes-on-possible-rate-cut-in-2024/articleshow/106342742.cms,"https://img.etimg.com/thumb/msid-106343862,width-1200,height-630,imgsize-93140,overlay-economictimes/photo.jpg",2023-12-28,"For five consecutive policy reviews in 2023, the Reserve Bank of India (RBI) chose to hold rates, citing inflation threat. And when the prices did cool off a bit, it reminded all about the target to … [+4020 chars]",the-times-of-india,The Times of India,HDFCBANK,1.0
Live from a Lounge,"HDFC Bank to change transfer ratios for 3 Conversion Partners effective January 15, 2024 [Minor Devaluation]","HDFC Bank's most premium credit card customers will see a minor devaluation of the value of their points if they like to transfer them over to partner programmes next month. Here are the details. 
The post HDFC Bank to change transfer ratios for 3 Conversion …",https://livefromalounge.com/hdfc-bank-transfer-partners-devaluation/,https://livefromalounge.com/wp-content/uploads/2021/01/HDFCcontentbanner-1.jpg,2023-12-21,"In February 2023, HDFC Bank introduced a large list of conversion partners for their Infinia and Diners Club Black customers. The partner list was long and distinguished and included airlines and hot… [+3737 chars]",,Livefromalounge.com,HDFCBANK,0.0
Live from a Lounge,Marriott Bonvoy HDFC Bank Diners Club Credit Card improves onboarding benefits delivery,"HDFC Bank's Marriott Bonvoy Co-branded credit card has been genuinely enhanced over the past few days and now grants you the free night and elite night credits sooner than it used to back in the day. 
The post Marriott Bonvoy HDFC Bank Diners Club Credit Card…",https://livefromalounge.com/marriott-bonvoy-hdfc-bank-diners-club-credit-card-improves-onboarding-benefits-delivery/,https://livefromalounge.com/wp-content/uploads/2023/09/F6XV_qaasAAsT9u.jpeg,2024-01-05,"In August 2023, the first-ever hotel co-branded credit card came out of India, with a collaboration between HDFC Bank, Marriott Bonvoy and Diners Club. This credit card was pioneering, but somewhere … [+4423 chars]",,Livefromalounge.com,HDFCBANK,1.0
Moneycontrol News,"HDFC Sec sees 8-10% upside for Nifty next year, says mid smallcap rally not over yet","The brokerage house also said that the market movement will not be linear, especially in the first half of 2024. This is because the bond market is expecting interest rate cuts in Feb-March, much sooner than what Federal Reserve indicated",https://www.moneycontrol.com/news/business/markets/hdfc-sec-sees-8-10-upside-for-nifty-next-year-says-mid-smallcap-rally-not-over-yet-11929271.html,https://images.moneycontrol.com/static-mcnews/2023/12/Nifty_sensex_marketup-8-770x433.jpg,2023-12-19,"Domestic broking firm HDFC Securities believes rich index valuations leave little room for any upside next year and thus did not spell out any definite Nifty target. According to the firm, Nifty coul… [+2883 chars]",,Moneycontrol,HDFCBANK,0.0
Moneycontrol News,Moneycontrol Selects: Top stories this morning,Our specially curated package of the most interesting articles to help you stay at the top of your game.,https://www.moneycontrol.com/news/business/moneycontrol-selects-top-stories-this-afternoon-158-11961031.html,https://images.moneycontrol.com/static-mcnews/2023/04/MC-selects-770x433.jpg,2023-12-27,"Here is a collection of the most important stories this afternoon:
Happy Forgings lists 18% premium on debut
Heavy forgings manufacturer Happy Forgings Ltd shares opened 18 percent higher on debut … [+2018 chars]",,Moneycontrol,HDFCBANK,0.0
Ravindra Sonavane,"Select stocks propel over 50% surge in Nifty Midcap, Smallcap valuations","Both Nifty MidCap and SmallCap jumped around 66 percent and 51 percent since April, while the benchmark Sensex and Nifty surged over 20 percent each in this period",https://www.moneycontrol.com/news/business/markets/select-stocks-propel-over-50-surge-in-nifty-midcap-smallcap-valuations-11927341.html,https://images.moneycontrol.com/static-mcnews/2023/12/Stock-Market-1-4-770x433.jpg,2023-12-20,"Only 16 stocks drove over 50 percent surge in the Nifty Midcap 100 Index valuation since April, while there are 18 responsible for over 50 percent surge in the value of the Nifty SmallCap 100. Intere… [+2114 chars]",,Moneycontrol,HDFCBANK,1.0
Moneycontrol News,"Mid-day Mood | Benchmarks shrug off correction fears, trade higher; all sectors in green",Trend in the broader market also remained exuberant as the Nifty Smallcap 100 and Nifty Midcap 100 indices gained over one percent respectively.,https://www.moneycontrol.com/news/business/markets/mid-day-mood-benchmarks-shrug-off-correction-fears-trade-higher-all-sectors-in-green-11942881.html,https://images.moneycontrol.com/static-mcnews/2023/12/Nifty_sensex_marketup-11-770x433.jpg,2023-12-22,"The benchmark Sensex and Nifty erased the previous sessions losses to trade half a percent higher around mid-day on December 22. In order to extend their seven-week winning streak, both the indices w… [+3505 chars]",,Moneycontrol,HDFCBANK,1.0
Amitoj Singh,India's Digital Rupee Crossed a Million Transactions in 1 Day With Some Help From Banks,"CoinDesk has viewed a letter dated Dec. 29 by the Reserve Bank of India (RBI) Governor Shaktikanta Das to staff that said the usage of the e-rupee (CBDC) ""exceeded the milestone of 1 million transactions in a day on Dec. 27, 2023."" A separate letter from one …",https://www.coindesk.com/policy/2024/01/04/indias-digital-rupee-crossed-a-million-transactions-on-one-day-with-some-help-from-banks/,https://www.coindesk.com/resizer/kIzri5GJEhlo0RyHvyClHX51MmU=/1200x628/center/middle/cloudfront-us-east-1.images.arcpublishing.com/coindesk/FOCQIFS5A5AITCQFLSY6KYK56I.jpg,2024-01-04,"India's central bank digital currency, the digital rupee, crossed a million transactions in a day on Dec. 27, 2023 but with at least a little help from retail banks' own employees.
CoinDesk has view… [+3390 chars]",,CoinDesk,HDFCBANK,0.0
Moneycontrol News,"Mid-day Mood | Silence after a storm as Sensex, Nifty trade flat","Going ahead, analysts anticipate the market to go through a phase of consolidation as the upcoming holiday season kicks in, which according to most will present a healthy break after the recent weeks of bull run.",https://www.moneycontrol.com/news/business/markets/mid-day-mood-silence-after-a-storm-as-sensex-nifty-trade-flat-11937381.html,https://images.moneycontrol.com/static-mcnews/2023/12/Nifty_sensex_marketup-9-770x433.jpg,2023-12-21,The benchmark Sensex and Nifty took a breather after a sharp fall in the previous session and traded flat as of afternoon trade on December 21. The buying from lower levels also helped the benchmarks… [+3745 chars],,Moneycontrol,HDFCBANK,0.0
Sarvesh Mathi,Offline payment tech by HDFC Bank and Crunchfish goes live,"OfflinePay, the payment system in question, allows customers as well as merchants to make and receive payments using an on-device wallet even in absence of a mobile network. 
The post Offline payment tech by HDFC Bank and Crunchfish goes live appeared first o…",https://www.medianama.com/2023/12/223-offline-payment-tech-hdfc-bank-crunchfish/,https://www.medianama.com/wp-content/uploads/2023/12/jonas-leupe-XL1YpEnVLb0-unsplash.jpg,2023-12-12,"Following the testing of an offline retail payment technology by HDFC Bank and Sweden-based Crunchfish under the Reserve Bank of India’s regulatory sandbox scheme, the product has now completed the t… [+1367 chars]",,MediaNama.com,HDFCBANK,1.0
Lovisha Darad,"Nifty holds above 21,700, Sensex firm; volatility may rise going ahead amid #39;overbought#39; conditions","Investors can expect strong movements on either side due to higher volatility but the undertone of overall markets remains bullish, said analysts",https://www.moneycontrol.com/news/business/markets/nifty-holds-above-21700-sensex-firm-volatility-may-rise-going-ahead-amid-overbought-conditions-11967261.html,https://images.moneycontrol.com/static-mcnews/2023/12/market_flat-10-770x433.jpg,2023-12-28,Bulls kept domestic markets on a solid ground with both NSE Nifty and BSE Sensex hitting new all-time highs towards the end of trading session on December 28. This comes on the back of improving glob… [+2978 chars],,Moneycontrol,HDFCBANK,1.0
Sunil Shankar Matkar,"Chartist Talks | Milan Vaishnav says it#39;s time to move money from mid, small-caps to largecaps","Examination of Relative Strength reveals that the largecaps will start performing relatively better than the broader markets, says Milan Vaishnav.",https://www.moneycontrol.com/news/business/markets/chartist-talks-milan-vaishnav-says-its-time-to-move-money-from-mid-small-caps-to-largecaps-11883451.html,https://images.moneycontrol.com/static-mcnews/2023/06/Milan_Vaishnav-1-770x433.jpg,2023-12-11,"Consolidation looks imminent to Milan Vaishnav, CMT, MSTA, founder of Gemstone Equity Research &amp; Advisory Services, but within a defined range, before the bulls take over the reins yet again.
In… [+5613 chars]",,Moneycontrol,HDFCBANK,0.0
Abhishek Mukherjee,Darlings of Dalal Street: The stocks most owned by mutual funds,"In November, 40 fund houses held these two bluechips in their various schemes, data sourced from Emkay shows",https://www.moneycontrol.com/news/business/stocks/darlings-of-dalal-street-the-stocks-most-owned-by-mutual-funds-11931081.html,https://images.moneycontrol.com/static-mcnews/2023/09/Mutual-Funds_Sensex_personal-finance-770x433.png,2023-12-20,"TCS and ICICI Bank have topped the list of stocks most owned by mutual funds, with 40 fund houses holding the two bluechips in their various schemes.
Infosys and Maruti Suzuki are in the second spot… [+3697 chars]",,Moneycontrol,HDFCBANK,1.0
TIMESOFINDIA.COM,'11 bombs across Mumbai': Threat email to top banks demands FM's resignation,"India News: The Reserve Bank of India (RBI) received a threatening email from 'Khilafat India', claiming bombs would be planted in RBI office, HDFC Bank, and ICIC",https://timesofindia.indiatimes.com/india/rbi-two-other-banks-receive-bomb-threat-email-sender-demands-sitharamans-resignation/articleshow/106297427.cms,"https://static.toiimg.com/thumb/msid-106297428,width-1070,height-580,imgsize-1203496,resizemode-75,overlay-toi_sw,pt-32,y_pad-40/photo.jpg",2023-12-26,8 morning rituals of highly successful people,the-times-of-india,The Times of India,HDFCBANK,0.0
Lovisha Darad,"Bank Nifty hits record high of 47,170 points, clocks biggest weekly gain since July 2022","So far this year, the Bank Nifty index has surged over 9 percent as against 15 percent rally in the benchmark Nifty50 index",https://www.moneycontrol.com/news/business/markets/bank-nifty-hits-record-high-of-47170-points-clocks-biggest-weekly-gain-since-july-2022-11873181.html,https://images.moneycontrol.com/static-mcnews/2023/12/Nifty_sensex_marketup-3-770x433.jpg,2023-12-08,"The Bank Nifty took a 0.7 percent leap to hit a fresh lifetime high of 47,170.25 levels on December 8 as investors cheered the Reserve Bank of India's monetary policy outcome. The Bank Nifty index is… [+2154 chars]",,Moneycontrol,HDFCBANK,0.0
ETMarkets.com,Stock market update: Stocks that hit 52-week lows on NSE,"Grasim Inds.,  HDFC Bank,  BPCL,  RIL and  HDFC Life were among the top losers on NSE.",https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-stocks-that-hit-52-week-lows-on-nse/articleshow/106201462.cms,"https://img.etimg.com/thumb/msid-83769615,width-1200,height-630,imgsize-98874,overlay-etmarkets/photo.jpg",2023-12-22,"NEW DELHI: Bajel Projects, Bohra Industries, SEL Manufact, Raj Rayon and 3rd Rock MultiMedia and others were among the stocks that touched their 52-week lows as of 11:05AM(IST)in Friday's session. Do… [+466 chars]",the-times-of-india,The Times of India,HDFCBANK,1.0
Sunil Shankar Matkar,"Chartist Talks | PSU Bank may continue to outperform in 2024, support rise in Bank Nifty","One should keep an eye on midcaps from the Cement, Engineering / Capital Goods, Infra, Railways, Defence, Renewable and IT space, says Sudeep Shah.",https://www.moneycontrol.com/news/business/markets/chartist-talks-psu-bank-may-continue-to-outperform-in-2024-support-rise-in-bank-nifty-11954001.html,https://images.moneycontrol.com/static-mcnews/2023/12/Sudeep_Shah-770x433.jpg,2023-12-26,"In June 2023, the Nifty had put up an 87-week Cup pattern breakout with a sharp rally. As per the measure rule of the Cup pattern, ""upside target for the Nifty 50 is placed at the 22,613 level, while… [+10534 chars]",,Moneycontrol,HDFCBANK,0.0
PTI,"Inflows from private equity, venture c to domestic companies plunge to $27.9 billion in 2023","According to the numbers collated by Venture Intelligence that tracks private capital and debt flows, and industry body IVCA, investments by private equity and venture capital funds as of December 20, 2023, fell to a low of USD 27.9 billion across 697 transac…",https://www.moneycontrol.com/news/business/economy/inflows-from-private-equity-venture-c-to-domestic-companies-plunge-to-27-9-billion-in-2023-11961991.html,https://images.moneycontrol.com/static-mcnews/2023/01/dollar-finance-BBO-770x433.jpg,2023-12-27,"Investments from private equity and venture capital funds into domestic companies declined about 40 per cent to USD 27.9 billion so far this year, while the outflow increased marginally to USD 19.34 … [+4672 chars]",,Moneycontrol,HDFCBANK,0.0
Parvathi Benu,Bank and NBFC loans to start-ups down over 65 per cent in 2023,Bank and NBFC loans to start-ups down 80% in 2023; HDFC Bank leads with 3113 start-ups funded.,https://www.thehindubusinessline.com/data-stories/data-focus/bank-and-nbfc-loans-to-start-ups-down-over-65-per-cent-in-2023/article67666561.ece,https://bl-i.thgim.com/public/incoming/8wpu9n/article67666617.ece/alternates/LANDSCAPE_1200/BL04_Think_Rupee.jpg,2023-12-22,"Bank and NBFC loans to start-ups down over 80 per cent in 2023 
Its a cold (funding) winter for Indian start-ups. On one hand, start-ups find it cumbersome to raise capital from angels, venture capi… [+3008 chars]",,BusinessLine,HDFCBANK,1.0
"Shivaram Rajgopal, Contributor, 
 Shivaram Rajgopal, Contributor
 https://www.forbes.com/sites/shivaramrajgopal/",Tarred By The Same Brush: How Do Index Makers Deal With Corporate Governance?,MSCI ACWI ex-USA index underweights China and India. Is that a governance discount? Should investors push MSCI to aggressively weed out poorly governed stocks instead?,https://www.forbes.com/sites/shivaramrajgopal/2024/01/02/tarred-by-the-same-brush-how-do-index-makers-deal-with-corporate-governance/,https://imageio.forbes.com/specials-images/imageserve/6594d3d894a446c5410de33b/0x0.jpg?format=jpg&height=900&width=1600&fit=bounds,2024-01-03,MSCI ACWI ex-USA index underweights China and India. Is that a governance discount? Should investors push MSCI to aggressively weed out poorly governed stocks in these countries instead? Indian polic… [+13045 chars],,Forbes,HDFCBANK,1.0
Economic Times,HDFC Bank Stocks Live Updates: HDFC Bank Closes at Rs 1670.85 with 9.05% 1-Month Return,"Welcome to the HDFC Bank Stock Liveblog, your real-time source for the latest updates and comprehensive analysis on a prominent stock. Dive into the current details of HDFC Bank, including: Last traded price 1673.25, Market capitalization: 1266807.73, Volume:…",https://economictimes.indiatimes.com/markets/stocks/stock-liveblog/hdfc-bank-stocks-live-updates-26-dec-2023/liveblog/106278476.cms,"https://economictimes.indiatimes.com/thumb/msid-106278476,width-600,resizemode-4,imglength-12884/markets/stocks/stock-liveblog/hdfc-bank-stocks-live-updates-26-dec-2023.jpg",2023-12-26,"Voltas beko 8 Place Settings Table Top Dishwasher (2020/2021, DT8S, Silver, Inbuilt Heater)
Buy Now",the-times-of-india,The Times of India,HDFCBANK,0.0
Rakesh Patil,Market ends first week of 2024 with marginal losses; Realty index outperform,"Indian rupee reported marginal gains against the US dollar, as the domestic unit closed at 83.16 in the week ended January 5 against December 29 closing of 83.20.",https://www.moneycontrol.com/news/photos/business/markets/market-ends-first-week-of-2024-with-marginal-losses-realty-index-outperform-12007581.html,https://images.moneycontrol.com/static-mcnews/2024/01/bse_nse_stockmarket_nifty_sensex-1-770x433.jpg,2024-01-06,"Indian benchmark indices finished the first week of the New Year with marginal losses amid volatility and despite hitting fresh record highs on the first session on the year 2024.
For the week, BSE … [+2399 chars]",,Moneycontrol,HDFCBANK,
,BSE : Listing of new debt securities of HDFC Bank Ltd.,"(marketscreener.com) NOTICES
 
 
 
 
 Notice No.
 
 
 
 
 20231221-4
 
 
 
 
 Notice Date
 
 
 
 
 21 Dec 2023
 
 
 
 
 
 
 
 
 ...https://www.marketscreener.com/quote/stock/BSE-LIMITED-33930062/news/BSE-Listing-of-new-debt-securities-of-HDFC-Bank-Ltd-4561414…",https://www.marketscreener.com/quote/stock/BSE-LIMITED-33930062/news/BSE-Listing-of-new-debt-securities-of-HDFC-Bank-Ltd-45614144/,https://www.marketscreener.com/images/twitter_MS_fdnoir.png,2023-12-21,"NOTICES
 <table><tr><td>
Notice No.
 </td><td></td><td>
20231221-4
 </td><td></td><td>
Notice Date
 </td><td></td><td>
21 Dec 2023
 </td></tr><tr><td></td></tr><tr><td>
Category
 </td><td>… [+2587 chars]",,Marketscreener.com,HDFCBANK,0.0
